Xiawei_ID,Name,Data
16,ID_16_Number_1,这五种孩子啊，永远都学不会自律。
16,ID_16_Number_2,这五种学生啊，永远都无法独立思考。
16,ID_16_Number_3,这五种孩子啊，永远都不懂得感恩。
16,ID_16_Number_4,这五种学生啊，永远都无法适应新环境。
16,ID_16_Number_5,这五种孩子啊，永远都缺乏团队合作精神。
16,ID_16_Number_6,这五种学生啊，永远都无法克服拖延症。
16,ID_16_Number_7,这五种孩子啊，永远都学不会承担责任。
16,ID_16_Number_8,这五种学生啊，永远都无法理解他人的立场。
16,ID_16_Number_9,这五种孩子啊，永远都无法控制自己的情绪。
16,ID_16_Number_10,这五种学生啊，永远都无法坚持到底。
16,ID_16_Number_11,这五种孩子啊，永远都学不会尊重他人。
16,ID_16_Number_12,这五种学生啊，永远都无法适应变化。
16,ID_16_Number_13,这五种孩子啊，永远都缺乏创造力。
16,ID_16_Number_14,这五种学生啊，永远都无法有效沟通。
16,ID_16_Number_15,这五种孩子啊，永远都学不会时间管理。
16,ID_16_Number_16,这五种学生啊，永远都无法正确处理失败。
16,ID_16_Number_17,这五种孩子啊，永远都无法建立自信。
16,ID_16_Number_18,这五种学生啊，永远都无法理解复杂概念。
16,ID_16_Number_19,这五种孩子啊，永远都缺乏解决问题的能力。
16,ID_16_Number_20,这五种学生啊，永远都无法适应快节奏的学习。
16,ID_16_Number_21,这五种孩子啊，永远都学不会自我激励。
16,ID_16_Number_22,这五种学生啊，永远都无法有效组织信息。
16,ID_16_Number_23,这五种孩子啊，永远都缺乏批判性思维。
16,ID_16_Number_24,这五种学生啊，永远都无法适应多元文化。
16,ID_16_Number_25,这五种孩子啊，永远都学不会自我反省。
16,ID_16_Number_26,这五种学生啊，永远都无法有效管理压力。
16,ID_16_Number_27,这五种孩子啊，永远都缺乏领导力。
16,ID_16_Number_28,这五种学生啊，永远都无法适应远程学习。
16,ID_16_Number_29,这五种孩子啊，永远都学不会灵活变通。
16,ID_16_Number_30,这五种学生啊，永远都无法有效利用资源。
16,ID_16_Number_31,这五种孩子啊，永远都缺乏自我表达能力。
16,ID_16_Number_32,这五种学生啊，永远都无法适应新科技。
16,ID_16_Number_33,这五种孩子啊，永远都学不会适应变化。
16,ID_16_Number_34,这五种学生啊，永远都无法有效处理冲突。
16,ID_16_Number_35,这五种孩子啊，永远都缺乏同理心。
16,ID_16_Number_36,这五种学生啊，永远都无法适应新角色。
16,ID_16_Number_37,这五种孩子啊，永远都学不会自我调节。
16,ID_16_Number_38,这五种学生啊，永远都无法有效规划未来。
16,ID_16_Number_39,这五种孩子啊，永远都缺乏自我驱动力。
16,ID_16_Number_40,这五种学生啊，永远都无法适应新挑战。
16,ID_16_Number_41,这五种孩子啊，永远都学不会合作学习。
16,ID_16_Number_42,这五种学生啊，永远都无法有效管理财务。
16,ID_16_Number_43,这五种孩子啊，永远都缺乏自我意识。
16,ID_16_Number_44,这五种学生啊，永远都无法适应新规则。
16,ID_16_Number_45,这五种孩子啊，永远都学不会自我激励。
16,ID_16_Number_46,这五种学生啊，永远都无法有效处理批评。
16,ID_16_Number_47,这五种孩子啊，永远都缺乏自我控制。
16,ID_16_Number_48,这五种学生啊，永远都无法适应新团队。
16,ID_16_Number_49,这五种孩子啊，永远都学不会自我提升。
16,ID_16_Number_50,这五种学生啊，永远都无法有效处理人际关系。
16,ID_16_Number_51,这五种学生啊，总拿不到好成绩。
16,ID_16_Number_52,这五种学生啊，作业总拖到最后。
16,ID_16_Number_53,这五种学生啊，考试总作弊。
16,ID_16_Number_54,这五种学生啊，从来不复习。
16,ID_16_Number_55,这五种学生啊，上课总走神。
16,ID_16_Number_56,这五种学生啊，从来不发言。
16,ID_16_Number_57,这五种学生啊，学习总靠别人。
16,ID_16_Number_58,这五种学生啊，计划总泡汤。
16,ID_16_Number_59,这五种学生啊，课外书从来不碰。
16,ID_16_Number_60,这五种学生啊，作业总出错。
16,ID_16_Number_61,这五种学生啊，总不总结教训。
16,ID_16_Number_62,这五种学生啊，团队项目总拖后腿。
16,ID_16_Number_63,这五种学生啊，问题从来不问。
16,ID_16_Number_64,这五种学生啊，难题从来不碰。
16,ID_16_Number_65,这五种学生啊，时间总管不好。
16,ID_16_Number_66,这五种学生啊，学习总没动力。
16,ID_16_Number_67,这五种学生啊，细节总不注意。
16,ID_16_Number_68,这五种学生啊，作业总拖到最后一刻。
16,ID_16_Number_69,这五种孩子啊，上课总是开小差。
16,ID_16_Number_70,这五种学生啊，从来不复习笔记。
16,ID_16_Number_71,这五种孩子啊，考试前夜才开始抱佛脚。
16,ID_16_Number_72,这五种学生啊，总爱抄作业。
16,ID_16_Number_73,这五种孩子啊，书本从来不整理。
16,ID_16_Number_74,这五种学生啊，总爱迟到早退。
16,ID_16_Number_75,这五种孩子啊，学习时总爱玩手机。
16,ID_16_Number_76,这五种学生啊，从来不做学习计划。
16,ID_16_Number_77,这五种孩子啊，作业总是马虎了事。
16,ID_16_Number_78,这五种学生啊，总爱在课堂上吃东西。
16,ID_16_Number_79,这五种孩子啊，从来不问问题。
16,ID_16_Number_80,这五种学生啊，总爱在课堂上睡觉。
16,ID_16_Number_81,这五种孩子啊，从来不记笔记。
16,ID_16_Number_82,这五种孩子啊，从来不按时交作业。
