Xiawei_ID,Name,Data
8,ID_8_Number_1,额外信息：一定要教会孩子不能软弱无力
8,ID_8_Number_2,额外信息：一定要教会孩子不能任人宰割
8,ID_8_Number_3,额外信息：一定要教会孩子不能太好说话
8,ID_8_Number_4,额外信息：一定要教会孩子不能过于温顺
8,ID_8_Number_5,额外信息：一定要教会孩子不能轻易被欺
8,ID_8_Number_6,额外信息：一定要教会孩子不能无骨气
8,ID_8_Number_7,额外信息：一定要教会孩子不能过于随和
8,ID_8_Number_8,额外信息：一定要教会孩子不能易受伤害
8,ID_8_Number_9,额外信息：一定要教会孩子不能过于听话
8,ID_8_Number_10,额外信息：一定要教会孩子不能过于乖巧
8,ID_8_Number_11,额外信息：一定要教会孩子不能逆来顺受
8,ID_8_Number_12,额外信息：一定要教会孩子不能缺乏主见
8,ID_8_Number_13,额外信息：一定要教会孩子不能受人摆布
8,ID_8_Number_14,额外信息：一定要教会孩子不能忍气吞声
8,ID_8_Number_15,额外信息：一定要教会孩子不能过于低调
8,ID_8_Number_16,额外信息：一定要教会孩子不能过于软弱
8,ID_8_Number_17,额外信息：一定要教会孩子不能显得无辜
8,ID_8_Number_18,额外信息：一定要教会孩子不能轻易妥协
8,ID_8_Number_19,额外信息：一定要教会孩子不能依赖性强
8,ID_8_Number_20,额外信息：一定要教会孩子不能受人影响
8,ID_8_Number_21,额外信息：一定要教会孩子不能不抗拒
8,ID_8_Number_22,额外信息：一定要教会孩子不能没有底线
8,ID_8_Number_23,额外信息：一定要教会孩子不能忍让
8,ID_8_Number_24,额外信息：一定要教会孩子不能迁就
8,ID_8_Number_25,额外信息：一定要教会孩子不能不争
8,ID_8_Number_26,额外信息：一定要教会孩子不能毫无反抗
8,ID_8_Number_27,额外信息：一定要教会孩子不能容易操控
8,ID_8_Number_28,额外信息：一定要教会孩子不能轻易妥协
8,ID_8_Number_29,额外信息：一定要教会孩子不能低声下气
8,ID_8_Number_30,额外信息：一定要教会孩子不能依附性强
8,ID_8_Number_31,额外信息：一定要教会孩子不能受制于人
8,ID_8_Number_32,额外信息：一定要教会孩子不能过于乖巧
8,ID_8_Number_33,额外信息：一定要教会孩子不能随波逐流
8,ID_8_Number_34,额外信息：一定要教会孩子不能没有个性
8,ID_8_Number_35,额外信息：一定要教会孩子不能缺乏胆量
8,ID_8_Number_36,额外信息：一定要教会孩子不能容易被孤立
8,ID_8_Number_37,额外信息：一定要教会孩子不能退让
8,ID_8_Number_38,额外信息：一定要教会孩子不能过于谦让
8,ID_8_Number_39,额外信息：一定要教会孩子不能不敢反抗
8,ID_8_Number_40,额外信息：一定要教会孩子不能低声下气
8,ID_8_Number_41,额外信息：一定要教会孩子不能乖巧听话
8,ID_8_Number_42,额外信息：一定要教会孩子不能盲从
8,ID_8_Number_43,额外信息：一定要教会孩子不能处于弱势
8,ID_8_Number_44,额外信息：一定要教会孩子不能轻易屈服
8,ID_8_Number_45,额外信息：一定要教会孩子不能牺牲自我
8,ID_8_Number_46,额外信息：一定要教会孩子不能盲目追随
8,ID_8_Number_47,额外信息：一定要教会孩子不能软弱可欺
8,ID_8_Number_48,额外信息：一定要教会孩子不能失去主见
8,ID_8_Number_49,额外信息：一定要教会孩子不能不敢发言
8,ID_8_Number_50,额外信息：一定要教会孩子不能心软
8,ID_8_Number_51,额外信息：一定要教会孩子不能无条件支持
8,ID_8_Number_52,额外信息：一定要教会孩子不能轻易相信
8,ID_8_Number_53,额外信息：一定要教会孩子不能成为受害者
8,ID_8_Number_54,额外信息：一定要教会孩子不能容易让步
8,ID_8_Number_55,额外信息：一定要教会孩子不能缺乏判断力
8,ID_8_Number_56,额外信息：一定要教会孩子不能依赖他人
8,ID_8_Number_57,额外信息：一定要教会孩子不能迎合
8,ID_8_Number_58,额外信息：一定要教会孩子不能过于温和
8,ID_8_Number_59,额外信息：一定要教会孩子不能忍耐
8,ID_8_Number_60,额外信息：一定要教会孩子不能不敢反驳
