Xiawei_ID,Name,Data
3,ID_3_Number_1,抠指甲
3,ID_3_Number_2,说脏话
3,ID_3_Number_3,乱丢垃圾
3,ID_3_Number_4,不洗袜子
3,ID_3_Number_5,不刷牙
3,ID_3_Number_6,玩手机过久
3,ID_3_Number_7,不收拾玩具
3,ID_3_Number_8,吃零食不洗手
3,ID_3_Number_9,偷吃零食
3,ID_3_Number_10,不穿外套
3,ID_3_Number_11,不打理头发
3,ID_3_Number_12,不做作业
3,ID_3_Number_13,不听父母话
3,ID_3_Number_14,随意咬指甲
3,ID_3_Number_15,不洗手
3,ID_3_Number_16,边看电视边吃饭
3,ID_3_Number_17,不关灯
3,ID_3_Number_18,不做家务
3,ID_3_Number_19,不按时上床睡觉
3,ID_3_Number_20,不换内衣
3,ID_3_Number_21,吃饭时玩手机
3,ID_3_Number_22,在课堂上讲话
3,ID_3_Number_23,不喜欢运动
3,ID_3_Number_24,随意涂鸦
3,ID_3_Number_25,不遵守排队
3,ID_3_Number_26,不愿意尝试新食物
3,ID_3_Number_27,不主动问好
3,ID_3_Number_28,不爱学习
3,ID_3_Number_29,不注意说话的语气
3,ID_3_Number_30,分享玩具时不友好
3,ID_3_Number_31,不注意环境卫生
3,ID_3_Number_32,不愿意道歉
3,ID_3_Number_33,常常拖延
3,ID_3_Number_34,不认真听课
3,ID_3_Number_35,吃东西不注意
3,ID_3_Number_36,不按时完成作业
3,ID_3_Number_37,对他人不够友善
3,ID_3_Number_38,在不适合的场合大声讲话
3,ID_3_Number_39,不主动帮助父母
3,ID_3_Number_40,不重视作息时间
3,ID_3_Number_41,不注意衣物搭配
3,ID_3_Number_42,对家庭活动漠不关心
3,ID_3_Number_43,随意翻找别人的东西
3,ID_3_Number_44,对饮食健康缺乏关注
3,ID_3_Number_45,不愿意道歉
3,ID_3_Number_46,不认真参加课堂讨论
3,ID_3_Number_47,对知识缺乏兴趣
3,ID_3_Number_48,不主动与人交流
3,ID_3_Number_49,不及时完成任务
3,ID_3_Number_50,对他人的成就表现冷漠
3,ID_3_Number_51,不愿意尝试新游戏
3,ID_3_Number_52,对学习环境不重视
3,ID_3_Number_53,不遵守家庭规则
3,ID_3_Number_54,对学习资源缺乏珍惜
3,ID_3_Number_55,不重视自我形象
3,ID_3_Number_56,对父母的时间安排不重视
3,ID_3_Number_57,对家长的期望不屑一顾
3,ID_3_Number_58,不愿意认真听取反馈
3,ID_3_Number_59,对社交礼仪缺乏理解
3,ID_3_Number_60,不愿意承担责任
3,ID_3_Number_61,对学习缺乏主动性
3,ID_3_Number_62,对他人的意见不尊重
3,ID_3_Number_63,不重视个人发展
3,ID_3_Number_64,大声喧哗
3,ID_3_Number_65,不愿意参与志愿活动
3,ID_3_Number_66,对未来缺乏规划
3,ID_3_Number_67,不愿意参与家庭讨论
3,ID_3_Number_68,对新知识缺乏兴趣
3,ID_3_Number_69,不尊重他人的感受
3,ID_3_Number_70,不愿意尝试新技能
3,ID_3_Number_71,缺乏对知识的热爱
3,ID_3_Number_72,不愿意帮助同学
3,ID_3_Number_73,对学习材料不重视
3,ID_3_Number_74,不愿意面对困难
3,ID_3_Number_75,不尊重他人的意见
3,ID_3_Number_76,不重视个人发展
3,ID_3_Number_77,不愿意参与志愿活动
3,ID_3_Number_78,对未来缺乏规划
3,ID_3_Number_79,不愿意参与家庭讨论
3,ID_3_Number_80,对新知识缺乏兴趣
3,ID_3_Number_81,不尊重他人的感受
3,ID_3_Number_82,不愿意尝试新技能
3,ID_3_Number_83,缺乏对知识的热爱
3,ID_3_Number_84,不愿意帮助同学
3,ID_3_Number_85,对学习材料不重视
3,ID_3_Number_86,不愿意面对困难
3,ID_3_Number_87,不珍惜朋友的感情
3,ID_3_Number_88,对家庭事务漠不关心
3,ID_3_Number_89,对社交礼仪缺乏理解
3,ID_3_Number_90,不愿意承担责任
3,ID_3_Number_91,不重视个人形象
3,ID_3_Number_92,对父母的期望不屑一顾
3,ID_3_Number_93,不愿意接受别人的帮助
3,ID_3_Number_94,不认真听取反馈
3,ID_3_Number_95,不主动参与课外活动
3,ID_3_Number_96,不重视学习成果
3,ID_3_Number_97,对社交礼仪缺乏理解
3,ID_3_Number_98,不愿意尝试新食物
3,ID_3_Number_99,对他人的情绪缺乏理解
3,ID_3_Number_100,不珍惜学习机会
